Material Type,Cost,Strength,Durability,Environmental Impact,Recyclability,Sustainability Rating
Wood,1467.437696345977,85.89139331700488,36,Medium,Yes,Medium
Concrete,654.2087523993241,26.731258026380196,38,Low,Yes,High
Wood,997.3106856318763,91.27194078854127,36,Low,Yes,High
Concrete,1279.5593351468563,53.1504637001473,23,Medium,No,Medium
Steel,909.8902126425778,69.19148662012907,23,Medium,No,Medium
Steel,584.1082546073499,35.93706088245328,30,Low,Yes,High
Wood,447.9897296215755,43.35389919820773,16,Medium,No,Medium
Wood,876.3138785158219,58.86648892388391,24,Medium,No,Medium
Steel,745.9639126904373,23.606997555733983,29,High,Yes,Low
Wood,1201.187534853876,43.77081639215383,43,Medium,Yes,Medium
Concrete,537.8489499762629,34.405032948583866,43,Low,No,Low
Steel,491.2841478119852,83.62913575276782,24,Low,No,Low
Concrete,966.6361989318898,31.001875763232533,13,High,No,Low
Steel,478.1700944341438,53.86213543570018,48,High,No,Low
Concrete,1075.6128512347698,63.783597323689946,40,High,Yes,Low
Steel,1311.6553035187815,63.66705681941863,9,Medium,No,Medium
Concrete,1175.1218337133623,71.96868318509092,5,High,Yes,Low
Wood,276.0764474196864,60.665689781196846,11,Low,Yes,High
Steel,252.77565462238903,32.13565694286127,27,Low,No,Low
Wood,886.0123951173144,25.114965857236626,11,Medium,Yes,Medium
Steel,172.4293441780008,74.40641353468693,36,High,Yes,Low
Concrete,1319.3588217674405,22.994615163550474,45,High,Yes,Low
Steel,1062.0692236912228,58.009418298775465,44,Low,No,Low
Concrete,348.9052033818689,55.24571144509609,26,Medium,Yes,Medium
Wood,1329.7774075240054,99.73778415246429,43,Low,No,Low
Steel,422.87417767347034,40.379214116503455,34,High,No,Low
Wood,430.1652367239572,52.520947473024165,7,High,Yes,Low
Concrete,632.2612478366766,28.209214393543974,7,Low,No,Low
Wood,1162.1893531922801,95.29311366833929,47,Medium,Yes,Medium
Steel,338.19333540648665,53.90670705819513,29,Low,Yes,High
Steel,825.668626064951,61.29081904576148,12,High,No,Low
Concrete,402.8469520810179,55.075379816999394,27,High,No,Low
Wood,1303.5510986136658,43.61354750158417,24,Medium,No,Medium
Steel,343.993482926772,48.07655161220418,35,High,No,Low
Steel,431.2677327041246,77.99047225199756,29,Low,No,Low
Concrete,658.291051277155,64.1526248358351,49,Low,No,Low
Wood,1126.705989740859,57.656909752762076,11,Medium,No,Medium
Wood,1268.5474638819933,67.49617976085057,42,Low,Yes,High
Steel,775.7018581512351,89.85385415073858,25,Medium,No,Medium
Wood,243.2313664749139,94.25583659302718,10,Low,No,Low
Wood,522.7218774824175,31.45578633563894,19,Medium,No,Medium
Concrete,788.8195841805051,35.44771791206685,46,High,No,Low
Concrete,170.4563439138113,25.776192233140712,28,Low,Yes,High
Concrete,648.2571637138108,78.81009665798335,7,High,Yes,Low
Wood,1032.1726942580144,17.295849514828774,22,Medium,Yes,Medium
Wood,1333.037752880511,43.225265287367634,12,Medium,No,Medium
Wood,1002.692457348045,55.674708077737044,34,Low,Yes,High
Wood,504.23167847675614,19.412407622293248,39,Medium,No,Medium
Wood,783.803276650933,98.5035311515862,38,Medium,No,Medium
Steel,1103.7481563736437,20.655026458619652,39,High,No,Low
Steel,1203.7555773354009,85.01843630630798,22,Medium,Yes,Medium
Concrete,629.1274461225378,41.392207762333456,22,High,Yes,Low
Steel,887.2759544994136,39.504137433156565,38,High,Yes,Low
Concrete,238.39133975911918,14.209360094045557,45,High,No,Low
Concrete,484.3212992764398,83.69504211694975,48,Low,No,Low
Wood,989.9192543710047,98.44548517093267,48,Low,Yes,High
Wood,1158.5790808044824,25.354030393171648,44,High,No,Low
Steel,919.4732907375715,11.48968471612689,6,Low,No,Low
Steel,301.5585511297182,11.719297728953922,11,Low,Yes,High
Wood,922.0223140226259,33.51861124647847,48,Low,Yes,High
Steel,1380.4466435467743,82.58207697564485,6,High,Yes,Low
Steel,1154.4878395648789,48.179505008704204,35,Medium,Yes,Medium
Wood,363.38885557932366,34.6571089108788,32,Low,Yes,High
Steel,1421.3903101931544,90.68386231240369,41,Medium,Yes,Medium
Steel,686.510918582992,83.52475937970743,42,Medium,No,Medium
Wood,841.7347866584233,87.23407585425518,32,Medium,Yes,Medium
Steel,324.78030029238903,18.226010288951713,17,High,Yes,Low
Steel,369.85226524040877,43.53669142426958,23,Medium,Yes,Medium
Steel,1496.7032822464498,34.01706949642278,45,High,No,Low
Wood,1221.5522292451803,80.72930779646255,32,Medium,No,Medium
Concrete,616.5408848680337,25.756520541977075,8,High,No,Low
Wood,298.40461494377416,95.42628536206043,45,Low,Yes,High
Wood,844.7782743146266,10.592154852249594,6,Medium,Yes,Medium
Concrete,1068.61081927147,68.48739096176708,11,High,Yes,Low
Wood,977.0983731632033,48.64494108205743,18,Medium,No,Medium
Steel,514.5738514925656,89.77190591493941,5,Low,Yes,High
Concrete,1224.638489522263,20.828804492183504,29,Medium,No,Medium
Steel,185.65517777630583,98.69090738534825,18,Medium,Yes,Medium
Steel,1076.2542183653359,29.388416325984362,15,Low,Yes,High
Steel,449.51446912446323,84.22550167776981,33,High,No,Low
Concrete,196.71058635533353,64.5675528974854,30,High,No,Low
Steel,616.7198012425824,62.61452822839361,10,Low,No,Low
Concrete,690.3094389314023,82.14270109441178,21,Medium,No,Medium
Steel,1321.9544174641171,31.29565021519928,37,Low,No,Low
Steel,435.9846746494289,36.453227321261004,46,Low,Yes,High
Steel,996.886373337104,67.83552041809645,49,High,No,Low
Steel,727.387842021958,60.578830272111844,49,Low,Yes,High
Steel,1167.7459922411535,49.1384546230056,36,Medium,No,Medium
Concrete,656.9936920206878,96.87342523060585,30,Medium,Yes,Medium
Wood,1088.533007752755,88.54863667924208,48,Low,No,Low
Concrete,1044.13241486479,44.94401170319255,39,High,No,Low
Wood,1354.0301665219483,90.3917801801768,38,Medium,Yes,Medium
Concrete,540.8348292693997,53.87520164893828,34,High,Yes,Low
Steel,439.55391363223737,46.223944811147376,33,Medium,Yes,Medium
Steel,1093.61933661799,83.36744900461585,30,High,No,Low
Wood,1069.248550042008,56.126602956229306,45,Medium,No,Medium
Wood,719.781240501889,34.059164566581345,21,Low,No,Low
Concrete,725.358371184988,48.72949276133709,21,High,Yes,Low
Steel,604.6607365114256,70.30334646498076,10,Medium,Yes,Medium
Concrete,811.1286762589494,89.42073025939912,17,High,No,Low
Wood,948.6913644436349,73.63310403479522,5,High,Yes,Low
Wood,492.29425045735115,88.43341699338161,13,High,No,Low
Concrete,1385.4714605115748,43.87747034236483,45,Medium,Yes,Medium
Steel,1398.9874000724408,33.54839792523951,35,Medium,No,Medium
Steel,1127.637048601149,22.47546135490483,5,Medium,Yes,Medium
Steel,379.401157173511,99.41564268782984,31,High,No,Low
Steel,605.0136726733008,84.79304320813597,46,Low,No,Low
Steel,518.5283932966977,57.46398128895705,24,High,Yes,Low
Concrete,1408.1019752972725,56.994350207014044,42,High,Yes,Low
Wood,1040.04269554661,83.37413040724314,17,Medium,No,Medium
Concrete,1374.7952187067553,58.804530454853456,15,High,Yes,Low
Concrete,1416.1360056196902,69.004601068063,12,High,Yes,Low
Concrete,1045.0119967516607,79.66224262069451,24,Low,No,Low
Concrete,450.46690255051163,55.17852441895002,9,Medium,Yes,Medium
Wood,1239.3968652672356,18.984910022471304,29,Medium,No,Medium
Steel,238.752579913956,85.8051725938616,23,Low,No,Low
Wood,1112.3242533981734,13.293225623963384,46,High,No,Low
Steel,1347.085281868781,24.45617010376811,43,Low,No,Low
Concrete,638.9650131259334,84.73965006763657,15,High,No,Low
Concrete,192.71137583267586,48.28861371612261,37,Medium,Yes,Medium
Concrete,1304.157573510775,15.47270502337167,48,Low,Yes,High
Concrete,1425.2348851000336,30.30108749282303,24,High,Yes,Low
Wood,846.0425535993608,54.10643590856215,24,Low,Yes,High
Steel,362.0201153644838,47.71741989902841,21,High,Yes,Low
Concrete,311.8753510732126,35.72940881220106,30,Medium,Yes,Medium
Steel,796.765667396002,79.11505941168089,10,Medium,No,Medium
Steel,757.930656647134,95.53850635220438,23,Medium,Yes,Medium
Concrete,248.92731286061957,73.71447881487737,21,High,Yes,Low
Wood,298.46344995346294,28.560723419973883,29,Low,No,Low
Steel,490.5274871429211,31.71114456175864,24,Medium,No,Medium
Concrete,676.9322169848522,12.681489643536384,12,Low,Yes,High
Wood,988.5895605832682,77.56929402449303,16,Medium,No,Medium
Wood,1463.8058136480959,86.05800437362961,40,High,No,Low
Steel,349.8602294330349,78.25430049499207,14,Medium,Yes,Medium
Steel,590.0151554795873,34.788250826400755,7,Medium,Yes,Medium
Wood,175.9127394934571,74.37956641645354,48,Low,No,Low
Concrete,1465.8989390513298,49.758507602174525,31,Low,No,Low
Concrete,463.977991402658,50.64751540285994,45,Medium,Yes,Medium
Steel,1269.3107680849741,77.29556911269826,32,High,Yes,Low
Concrete,1290.6648802234245,99.95800977009628,41,High,No,Low
Wood,1361.9815947916084,86.62148057147714,28,Medium,No,Medium
Wood,970.4894933942138,17.917685410629538,38,High,Yes,Low
Wood,1347.7726287600274,56.61461196426539,47,High,Yes,Low
Steel,1475.1406413470977,36.15236791638942,14,High,No,Low
Wood,1094.4467490953887,56.20229797065924,5,Low,No,Low
Concrete,178.0685041610084,77.49683066112719,7,Low,No,Low
Concrete,304.03241576523965,54.79001375838767,31,Medium,No,Medium
Concrete,664.7976235279142,18.332179866309247,28,High,Yes,Low
Concrete,948.0430531731076,57.66860295747767,13,High,No,Low
Steel,1014.2198221295839,65.14102928570182,47,Medium,No,Medium
Steel,307.81994822376885,42.55363660448087,42,Low,No,Low
Concrete,513.4804279603576,65.43483215409813,42,Low,Yes,High
Concrete,558.8809051591563,10.329141458372543,23,Medium,Yes,Medium
Wood,698.8513478419627,73.25790327944102,23,High,No,Low
Concrete,1490.0266404406268,13.692308556074067,48,Medium,No,Medium
Concrete,1188.3260286688471,65.3873357708415,39,High,Yes,Low
Concrete,568.0817630098592,34.82337487012313,18,High,No,Low
Wood,820.4541429413345,92.6332600263472,22,Medium,No,Medium
Concrete,705.4296323530851,77.66648693099239,18,Low,Yes,High
Concrete,551.9035345810223,24.718436362984153,31,Low,No,Low
Steel,556.0669449107947,47.48609467947152,26,Medium,Yes,Medium
Concrete,1028.0543523487268,67.03582871276666,44,High,No,Low
Wood,746.1986082922048,18.74637706912154,22,Medium,Yes,Medium
Steel,280.1771544462319,42.75513801186642,47,Low,No,Low
Concrete,1271.5295224622141,52.3553905420362,15,High,Yes,Low
Wood,977.7454638397328,45.10938240600689,41,High,No,Low
Wood,227.0100715537147,41.18595059154815,22,High,No,Low
Concrete,462.58533300426524,20.321530731592752,5,High,Yes,Low
Concrete,1002.6009606026995,78.53090430287136,34,Low,No,Low
Concrete,665.0021225071555,19.812493897528636,25,Medium,No,Medium
Steel,355.0460582438982,63.83434545895497,15,High,No,Low
Wood,1364.0243328620502,87.75617432599027,46,Medium,No,Medium
Wood,1226.3062940761663,57.85730062624969,19,Medium,No,Medium
Wood,1186.971248557039,98.22850407347876,12,Medium,No,Medium
Steel,1482.2585969722256,12.5247540014559,15,Medium,No,Medium
Steel,666.9207564559102,18.2569722290343,27,High,No,Low
Wood,1293.803720798475,40.84736582339683,41,High,No,Low
Steel,596.6286867618273,48.63171953381729,33,Low,No,Low
Concrete,665.9484154326433,46.29945355485174,43,High,No,Low
Steel,540.8107427566673,81.54101148503324,7,Medium,No,Medium
Steel,916.5874295635901,80.29125326784848,37,Medium,Yes,Medium
Concrete,1498.6873213142671,53.1710558729146,15,Low,Yes,High
Steel,1109.4544151412442,21.706386131788975,40,Medium,No,Medium
Concrete,1061.679771472363,49.43908074425015,13,Low,Yes,High
Steel,407.39702762379255,52.27995979979578,31,High,No,Low
Steel,1321.8807241635297,62.82230493742857,44,High,No,Low
Wood,793.6251665651483,87.00325883939317,18,Medium,Yes,Medium
Concrete,1313.634558300613,80.09781470488346,34,High,Yes,Low
Concrete,517.9058892783205,76.05988727241265,15,Medium,Yes,Medium
Steel,203.76399497639048,21.005806932298086,14,High,Yes,Low
Steel,334.82520589079354,84.3503258937169,31,Medium,Yes,Medium
Steel,768.99363395994,77.35142431479915,12,Low,Yes,High
Wood,1227.591360500252,38.47538499587179,40,High,Yes,Low
Steel,810.7007960725034,64.47550285529232,21,High,Yes,Low
Steel,1408.7597845345636,61.46714373774856,13,High,No,Low
Wood,289.8422746609717,22.45680304782001,27,Low,No,Low
Concrete,485.5720451407176,90.19499118507676,30,Medium,Yes,Medium
Wood,656.0890254406368,95.0384799967399,49,High,Yes,Low
Concrete,366.3799802946337,81.86466572915738,25,Low,Yes,High
Wood,1064.1030488547244,74.34818990025434,46,Low,No,Low
Wood,600.8852483715625,90.38579674433915,44,High,Yes,Low
Wood,288.81926801912675,73.51538805477652,28,Low,No,Low
Concrete,398.7363185713417,28.93688121973021,35,High,Yes,Low
Steel,454.7300804864362,44.61230903470107,8,High,No,Low
Wood,414.7725888567109,46.12606909990086,18,Low,Yes,High
Concrete,1373.3706057525235,95.3498074489109,22,High,Yes,Low
Steel,730.7108095913412,63.3417061642686,48,Medium,Yes,Medium
Steel,1375.2462615522074,91.7379393905708,29,Medium,Yes,Medium
Concrete,1256.199322332083,75.08969589629613,11,Low,Yes,High
Wood,879.6729661316415,83.81066197167127,16,High,No,Low
Concrete,596.1241465198516,70.89588559295751,22,High,Yes,Low
Wood,1340.1667043253456,62.02179766770203,6,High,Yes,Low
Steel,1303.041235587165,61.77621519550608,12,Medium,Yes,Medium
Wood,932.772245720295,11.659063202927799,32,High,No,Low
Steel,1482.5074341363054,28.037930790475265,46,Low,Yes,High
Wood,283.7713123577372,79.27100037895802,13,High,Yes,Low
Concrete,843.9271442647403,24.059421465381384,47,Medium,Yes,Medium
Wood,696.1538016544968,38.29506951564069,21,High,No,Low
Steel,1117.2064967497004,58.90517713851689,21,High,Yes,Low
Concrete,744.3606329058891,36.67124015673477,49,High,Yes,Low
Wood,411.48024582865105,34.99209798659331,42,High,No,Low
Concrete,1090.2170473771212,94.79200734190727,5,Low,Yes,High
Concrete,1128.8258163262456,58.40503575481765,48,High,Yes,Low
Steel,678.2959814141932,90.67643726364383,28,Medium,No,Medium
Wood,841.5894005678294,15.556192834392801,17,Low,Yes,High
Concrete,967.4718644906151,36.90559896485259,49,High,Yes,Low
Steel,833.251947001895,73.84046023439991,33,Medium,Yes,Medium
Steel,559.5883744625066,83.17151617123315,42,Low,Yes,High
Steel,150.8654958167096,74.72054185262633,34,Medium,No,Medium
Steel,167.65828380799363,21.653394866156496,11,Low,Yes,High
Wood,963.6890028708332,38.54256663020171,40,Low,Yes,High
Steel,1285.5446845933955,63.9069112755719,31,Low,No,Low
Concrete,487.89334987927987,41.393751609448636,18,Low,No,Low
Wood,174.21180062677146,97.70415205871227,24,Low,Yes,High
Concrete,953.2884229733855,90.06822344057194,16,High,No,Low
Wood,873.8199031567352,79.396912375899,13,Medium,Yes,Medium
Steel,1202.5350772574704,17.29737790579172,44,Low,No,Low
Concrete,501.1220678160526,59.11277654708685,28,High,Yes,Low
Concrete,454.7960281858486,37.06151161948606,20,Medium,No,Medium
Wood,1331.9346073994532,20.40756682083699,19,High,No,Low
Steel,417.7862393746295,13.235787815254223,36,Medium,No,Medium
Wood,661.7629682490583,25.41740049702031,7,Low,No,Low
Steel,1014.432167552739,66.09208695150346,39,Medium,No,Medium
Steel,692.1699042159753,45.42575970459873,44,Low,No,Low
Concrete,607.3133413197445,36.81477157109321,10,Low,Yes,High
Concrete,254.75704686089594,57.01172510423545,44,Low,No,Low
Steel,557.1136160604686,39.82156237105907,34,High,Yes,Low
Wood,213.80252049988206,56.031129247686046,47,Low,Yes,High
Steel,903.3534326005855,79.76111581591931,36,Medium,Yes,Medium
Steel,1442.0544281162295,22.362988146799037,39,Medium,Yes,Medium
Concrete,878.3276870591875,16.305948801674774,37,Medium,No,Medium
Concrete,1213.4733868037013,33.3571941144596,9,High,No,Low
Concrete,1101.5610190809984,43.8914159260159,11,Medium,Yes,Medium
Concrete,258.66961577865044,61.39679964833615,36,Low,No,Low
Steel,1382.9135332295311,41.84058881176099,28,Medium,Yes,Medium
Steel,1447.4685834380728,18.2126713798083,25,High,No,Low
Steel,703.2943046926713,51.059523841063985,8,Medium,No,Medium
Wood,1451.7608877090895,92.96709068319794,9,High,No,Low
Steel,852.910069973059,96.78052732657503,42,Low,Yes,High
Wood,198.97040099232387,46.82593955812441,15,Low,Yes,High
Steel,420.66553498610534,83.73797541273908,36,High,No,Low
Concrete,695.3750853694216,66.0207026794617,38,Low,Yes,High
Concrete,803.3640183171129,74.25214283674553,7,Low,No,Low
Wood,1144.3394936998034,99.22222860220424,45,High,No,Low
Wood,596.1652762038959,40.10103198049211,6,High,No,Low
Concrete,1244.2878139425825,19.598514183154002,18,Medium,Yes,Medium
Wood,1496.7080091483222,83.6223199696624,37,High,Yes,Low
Wood,180.35480435511778,52.68924171816476,37,Medium,Yes,Medium
Concrete,1349.2675019613953,60.55963498967821,25,Low,No,Low
Concrete,310.7571740015286,27.559502910251567,41,Medium,No,Medium
Steel,810.9732301535009,14.984365043907559,7,Low,Yes,High
Concrete,1162.921729969491,20.686914427113532,14,Low,No,Low
Wood,1107.8203957652568,73.17381201464853,41,Low,No,Low
Steel,1411.3616129410439,38.853946426249465,46,High,No,Low
Concrete,838.2910621446932,39.13948415295508,25,Medium,No,Medium
Concrete,367.86162795175346,85.8976792961704,9,Low,No,Low
Steel,1476.3901981194588,54.53806892760871,43,Low,No,Low
Wood,1499.939959666454,22.499380719126425,24,Medium,Yes,Medium
Steel,1292.2672765490088,11.61174297963407,33,Low,No,Low
Steel,1367.9833347778026,82.3982439880413,32,Medium,Yes,Medium
Concrete,295.69766711247473,58.27626070042426,43,High,Yes,Low
Wood,709.4202110244378,90.20949050844467,21,Low,No,Low
Wood,878.1815535935489,77.90135415139564,38,Medium,Yes,Medium
Concrete,427.22576765940846,49.92593931331596,45,High,Yes,Low
Steel,973.2417980942168,38.92869284732262,15,Low,No,Low
Steel,916.119119819446,54.08602175858542,7,Medium,No,Medium
Steel,168.56772357716667,37.02278720661019,39,High,Yes,Low
Concrete,1026.2422140742374,38.15620873164809,42,Low,No,Low
Wood,423.6242387222413,64.83225158529277,11,Medium,No,Medium
Steel,1337.3123309274404,17.90557888079276,25,High,Yes,Low
Concrete,987.0597128553185,38.17289993791354,38,Low,Yes,High
Steel,1475.5012524186677,62.01573142044967,35,Low,No,Low
Wood,869.9242761807227,43.523951410023734,22,High,No,Low
Steel,981.2470237558734,83.73930675414336,11,Low,No,Low
Concrete,780.0427467635926,86.43495896749914,5,High,Yes,Low
Steel,453.2277726841982,50.75465934191287,14,Low,Yes,High
Steel,1382.4354972834801,33.54664496568907,20,High,No,Low
Steel,639.2415478177463,32.757584986059626,36,Low,No,Low
Concrete,1264.298867096273,29.74081040371441,19,High,Yes,Low
Steel,496.05588411477504,73.40430298256362,44,High,No,Low
Steel,698.5462625490272,34.54181240715127,11,High,No,Low
Wood,1458.3023968085995,12.641498272464403,37,High,No,Low
Concrete,803.934145653179,50.66767646982847,42,Medium,Yes,Medium
Wood,1312.4806728195178,79.26416740202833,11,High,Yes,Low
Concrete,1445.9252591820116,63.08234873425418,43,Low,Yes,High
Steel,998.6141472826827,62.14436921618528,43,High,No,Low
Wood,1461.0868000581622,71.07591843060726,47,Low,Yes,High
Wood,415.866993528438,30.208767991864146,5,Low,Yes,High
Steel,299.8830274271017,29.36108187354835,11,Medium,No,Medium
Concrete,1406.2811635646199,18.800274645530614,29,Medium,Yes,Medium
Concrete,1258.5577863699039,71.72939629254705,12,Medium,Yes,Medium
Wood,1234.4042376817547,59.824986741780066,23,Low,Yes,High
Concrete,480.4781744442133,77.2737586131641,49,Low,Yes,High
Wood,536.3192930236993,98.73941659931032,6,High,No,Low
Steel,981.4702398585001,66.24577149429089,24,High,No,Low
Concrete,1176.0185115881013,46.44055385097608,15,Low,Yes,High
Steel,1323.090686930408,65.19660187575052,23,High,Yes,Low
Wood,406.1064877761165,62.06259196388341,20,High,No,Low
Concrete,949.9544112342198,93.18619276350317,34,Medium,No,Medium
Wood,1203.329172530306,79.09143631704644,21,Medium,No,Medium
Steel,886.2911825546319,48.19490037246106,23,High,Yes,Low
Wood,1388.2351522758468,25.540598878078796,12,Low,Yes,High
Steel,232.01485784924466,87.8179606278168,18,Low,Yes,High
Concrete,749.7658737117813,84.40521650047558,43,Low,Yes,High
Wood,444.13897693411496,13.80637774854297,12,Medium,No,Medium
Concrete,1228.2063699441635,32.225485695518145,12,Low,Yes,High
Steel,1031.138781848847,24.65585927619686,36,Low,Yes,High
Steel,1173.2773524575896,66.42024533766316,48,Low,No,Low
Concrete,473.70259610718523,32.549825934957155,24,High,Yes,Low
Wood,611.0601551611368,11.018925207524168,37,Low,Yes,High
Concrete,202.57695622801484,39.27674364539737,40,Low,Yes,High
Steel,653.3436773662311,22.743126911112206,37,Medium,No,Medium
Steel,1485.4526840539017,87.35490526958422,19,Low,Yes,High
Wood,1048.9176715480335,86.05027526257075,11,Low,No,Low
Wood,1059.904502597115,16.01694810787814,13,High,No,Low
Steel,952.2970067354574,16.162616622816707,40,Medium,Yes,Medium
Wood,725.8112719199208,94.31961843979306,9,High,Yes,Low
Concrete,205.79250517937928,42.108569675087914,18,Medium,Yes,Medium
Concrete,670.7932610666809,38.253263115455674,13,High,No,Low
Steel,425.5027480927346,86.73341454810716,27,Medium,Yes,Medium
Wood,732.1689299935937,80.39813293157009,29,Medium,Yes,Medium
Concrete,780.8111683674566,46.103398854148345,12,Medium,No,Medium
Wood,1220.0305629444547,11.018814592553936,10,High,Yes,Low
Steel,280.1334171199792,50.48958551187805,15,Medium,No,Medium
Concrete,829.1884081557098,96.79381640022649,14,High,Yes,Low
Steel,1074.7894052123725,97.80836804084026,40,Medium,No,Medium
Steel,177.2136402295619,39.10493129969568,38,High,Yes,Low
Concrete,1056.9736497039953,22.68939130088487,33,High,Yes,Low
Steel,1432.014669752381,86.69099769906792,28,High,Yes,Low
Wood,432.045318063532,74.84705620365796,30,Low,Yes,High
Concrete,833.0794322518079,39.01409459673427,35,High,Yes,Low
Concrete,1141.0979229987665,73.02571961824619,7,High,Yes,Low
Wood,824.2673395937248,48.554083604353664,29,Medium,Yes,Medium
Wood,577.320722434276,18.616777953391384,8,High,Yes,Low
Steel,1142.0787743554974,68.40234654394504,13,High,Yes,Low
Concrete,1314.5342459500828,40.3469530360116,38,Low,No,Low
Concrete,1328.1104127054393,27.21090304832938,45,Medium,No,Medium
Concrete,659.1117010879466,46.82885718938632,29,High,Yes,Low
Wood,327.16464566160437,56.88290927587962,37,High,Yes,Low
Steel,273.87962208718676,36.96177049763044,28,Medium,No,Medium
Wood,963.5857323385932,19.72886588903043,34,High,No,Low
Wood,239.05210119195135,40.272212725402056,7,Medium,Yes,Medium
Concrete,817.5079453973258,43.77068898648857,6,High,No,Low
Concrete,373.940520696294,45.611314322921345,30,Medium,Yes,Medium
Steel,1334.2265917632078,68.40378571314216,26,Low,No,Low
Steel,1463.5752979286156,62.91077635244541,39,Medium,No,Medium
Steel,744.6044429257106,63.6429363666823,20,Medium,No,Medium
Concrete,1143.839632678606,77.03629725708892,22,Medium,Yes,Medium
Wood,383.3550484488391,80.16045499913639,37,High,Yes,Low
Steel,279.9030382361727,21.565863011366165,31,High,Yes,Low
Wood,849.9373876417997,58.65807939024737,10,Low,Yes,High
Wood,855.2381593192762,32.72546696482661,49,Medium,No,Medium
Wood,1329.2968416872752,81.5373969010625,18,Low,Yes,High
Concrete,421.18825422918644,21.943723565217304,7,Medium,Yes,Medium
Steel,407.7267038417799,71.30498565546776,31,High,No,Low
Concrete,475.71609765436733,18.211316153973456,31,High,Yes,Low
Wood,1016.781144910108,10.350102960436251,32,Low,No,Low
Wood,493.69002154849005,86.44861657273374,38,Low,Yes,High
Steel,469.5135995069526,63.28057410175298,30,Medium,Yes,Medium
Wood,1277.8563270880807,89.89541172221618,29,Medium,Yes,Medium
Steel,735.0103399069977,23.39963426314899,20,Medium,Yes,Medium
Concrete,1436.7041479304673,92.08343082736393,39,High,Yes,Low
Steel,1138.7222915865973,45.97727552030505,22,Low,Yes,High
Concrete,529.4223817386496,73.71890303161489,18,Medium,No,Medium
Concrete,1369.486162351739,69.69603955704801,18,Low,Yes,High
Concrete,1267.4715924524194,97.82644812105563,33,Medium,No,Medium
Concrete,305.7261438753996,73.16229689642324,38,Low,No,Low
Concrete,1160.0600648433765,61.76110815413992,12,Low,Yes,High
Wood,897.4311673640443,57.305546444786955,31,Medium,Yes,Medium
Wood,533.2639894055744,25.867999021763076,14,Low,No,Low
Wood,1302.5880664796264,80.8270727639491,45,High,Yes,Low
Steel,365.28355798395296,81.3739257854686,48,Medium,Yes,Medium
Wood,284.75189613175564,84.87880028892864,19,High,Yes,Low
Concrete,1363.4373974275468,21.796093722053257,45,High,Yes,Low
Concrete,663.9392728102945,58.816620815013195,48,Low,No,Low
Concrete,1353.7631816136995,70.94500308206145,19,High,Yes,Low
Steel,448.5762226892552,93.27749053340807,42,High,Yes,Low
Steel,1446.7323023760005,82.9719764520472,12,High,No,Low
Wood,473.18799755349266,32.18266392895714,35,Medium,No,Medium
Wood,1203.1883000623352,29.300311775565653,7,Low,Yes,High
Concrete,1158.7010764472911,76.54309438852135,37,Low,No,Low
Steel,1013.9290126454074,76.32830851859956,43,Medium,No,Medium
Steel,323.50133945757375,76.13407229008367,6,Medium,No,Medium
Steel,1462.2287919900032,33.28458700575648,14,Medium,Yes,Medium
Steel,752.202511939761,70.75388334958532,26,High,Yes,Low
Steel,698.2137663904448,36.65238995874448,14,Medium,No,Medium
Concrete,297.41414920596355,50.95035963303138,19,Medium,Yes,Medium
Concrete,550.8544948369173,29.86907635187922,32,Medium,Yes,Medium
Steel,1342.7698670446284,48.38478423571773,23,Medium,No,Medium
Concrete,866.5446892372448,38.08189348905768,36,Medium,Yes,Medium
Concrete,1158.9229901261494,31.60084015083618,39,Medium,Yes,Medium
Concrete,738.8812994191715,95.53590902956608,31,Medium,No,Medium
Concrete,1290.7287012972567,88.05871906815057,30,High,Yes,Low
Concrete,1105.1619387338956,75.79699840147433,49,Medium,Yes,Medium
Steel,956.4041126626695,96.84656605618967,32,Low,Yes,High
Wood,961.234764734653,91.71860802504906,22,Low,No,Low
Steel,234.01459347289028,95.12822092926416,31,High,Yes,Low
Steel,338.97581751254785,45.92542884826359,37,High,Yes,Low
Steel,1117.8082315134043,60.06562697250763,14,High,No,Low
Wood,1179.2394811347524,39.43777432464192,48,Medium,Yes,Medium
Wood,278.31573036140423,28.07339512490447,7,High,Yes,Low
Steel,919.3696872391486,33.52798850236616,12,High,Yes,Low
Steel,654.2278288312827,15.466163530980694,46,Medium,Yes,Medium
Wood,1185.7608145926251,83.62897872119669,39,Low,Yes,High
Wood,1161.6713594229013,24.184289410132735,45,Medium,Yes,Medium
Concrete,662.1667991219052,75.24495451405302,31,Medium,Yes,Medium
Steel,546.2682137750215,55.64955516439393,38,Low,Yes,High
Concrete,189.37942492112933,34.08180896846983,18,Low,Yes,High
Concrete,392.8617879072454,44.83845104959096,35,High,No,Low
Wood,356.34554666596466,82.25537361194881,29,High,No,Low
Concrete,574.6988304482502,48.594118889351755,41,Medium,Yes,Medium
Concrete,1106.4358074773572,64.9377581901646,43,Medium,No,Medium
Wood,1208.8085395812516,41.16943657594723,42,Medium,No,Medium
Wood,173.60621826194608,20.570185716218425,46,High,No,Low
Steel,1347.2338420813378,98.2336732608588,39,High,Yes,Low
Steel,1330.415906787027,98.79604916265397,5,Low,No,Low
Steel,691.5683842751713,58.31291066602373,27,High,No,Low
Wood,206.3953777290344,32.19957185703534,43,Medium,Yes,Medium
Wood,943.4933939130357,88.89070086556731,41,Low,No,Low
